21/5.0.2; 320dpi; 720x1184; motorola; XT1068; titan_umtsds; qcom
21/5.0.2; 320dpi; 720x1184; motorola; XT1069; titan_udstv; qcom
21/5.0.2; 320dpi; 720x1184; motorola; XT1078; thea_umtsds; qcom
21/5.0.2; 320dpi; 720x1188; LGE; LG-H520; mc90; mc90
21/5.0.2; 320dpi; 720x1188; LGE; LG-H522; mc90ds; mc90ds
21/5.0.2; 320dpi; 720x1280; asus; ASUS_Z00LD; ASUS_Z00L_63; qcom
21/5.0.2; 320dpi; 720x1280; samsung; SM-G850F; slte; universal5430
21/5.0.2; 480dpi; 1080x1920; HTC; HTC One; m7; m7
21/5.0.2; 480dpi; 1080x1920; asus; ASUS_Z011D; ASUS_Z011; qcom
21/5.0.2; 640dpi; 1440x2560; motorola; XT1225; quark_umts; qcom
21/5.0.2; 640dpi; 1440x2560; samsung; SM-G920I; zeroflte; samsungexynos7420
22/5.1.0; 160dpi; 1280x640; Jide; Remix Mini; rm1g; sun50iw1p1
22/5.1.0; 213dpi; 540x960; TCL; 8050E; Pixi4-6_3G; mt6580
22/5.1.0; 240dpi; 480x800; BLU; ENERGY_DIAMOND_MINI; ENERGY_DIAMOND_MINI; mt6580
22/5.1.0; 240dpi; 480x854; Multilaser; MS45S; MS45S; sc8830
22/5.1.0; 240dpi; 480x907; S9+; S9+; S9+; mt6580
22/5.1.0; 240dpi; 540x888; motorola; MotoE2(4G-LTE); surnia_umts; qcom
22/5.1.0; 240dpi; 540x888; motorola; XT1021; condor_umts; qcom
22/5.1.0; 320dpi; 1196x720; motorola; XT1033; falcon_umtsds; qcom
22/5.1.0; 320dpi; 720x1184; HTC; HTC Desire 728 dual sim; htc_a50cml_dtul; mt6735
22/5.1.0; 320dpi; 720x1184; HUAWEI; HUAWEI CUN-L01; HWCUN-L6735; mt6735
22/5.1.0; 320dpi; 720x1184; Mirage; 71S; 71S; mt6580
22/5.1.0; 320dpi; 720x1184; Multilaser; MS50_4G; MS50_4G; mt6735
22/5.1.0; 320dpi; 720x1184; Multilaser; MS55; MS55; mt6580
22/5.1.0; 320dpi; 720x1184; motorola; XT1039; peregrine; qcom
22/5.1.0; 320dpi; 720x1280; BLU; STUDIO M HD; BLU_STUDIO_M_HD; mt6580
22/5.1.0; 320dpi; 720x1280; FLIX; FLIX; x2605_jk_bv2000_mflix; mt6735
22/5.1.0; 320dpi; 720x1280; HOMTOM; HT3 Pro; HT3 Pro; mt6735
22/5.1.0; 320dpi; 720x1280; Meizu; M3s; M3s; mt6755
22/5.1.0; 320dpi; 720x1280; samsung; SM-J7008; j7ltechn; qcom
22/5.1.0; 480dpi; 1080x1776; HUAWEI; HUAWEI RIO-L03; HWRIO; qcom
22/5.1.0; 480dpi; 1080x1776; motorola; XT1097; victara; qcom
22/5.1.1; 160dpi; 732x860; lge; LG-H990DS; LG-H990DS; intel
22/5.1.1; 160dpi; 732x860; samsung; SM-G610F; SM-G610F; intel
22/5.1.1; 191dpi; 576x1024; Samsung; SM-G935F; SM-G935F; intel
22/5.1.1; 191dpi; 576x1024; lge; LG-H990DS; LG-H990DS; intel
22/5.1.1; 191dpi; 576x1024; samsung; SM-A530F; SM-A530F; intel
22/5.1.1; 191dpi; 576x1024; samsung; SM-G935F; SM-G935F; intel
22/5.1.1; 192dpi; 720x1280; samsung; SM-G610F; SM-G610F; intel
22/5.1.1; 240dpi; 480x782; LGE; LG-K120; me1; me1
22/5.1.1; 240dpi; 480x782; LGE; LG-K121; e1q; e1q
22/5.1.1; 240dpi; 480x800; samsung; SM-G360T1; cprimeltemtr; qcom
22/5.1.1; 240dpi; 480x800; samsung; SM-J111M; j1acevelte; sc8830
22/5.1.1; 240dpi; 480x800; samsung; SM-J120M; j1xlte; universal3475
22/5.1.1; 240dpi; 480x854; asus; ASUS_X00BD; ASUS_X00BD_1; qcom
22/5.1.1; 240dpi; 720x1280; samsung; SM-N9005; hlte; qcom
22/5.1.1; 320dpi; 720x1280; Xiaomi; Redmi 3; ido; qcom
22/5.1.1; 320dpi; 720x1280; asus; ASUS_X013D; ASUS_X013D_1; qcom
22/5.1.1; 320dpi; 720x1280; samsung; SM-G600FY; o7lte; qcom
22/5.1.1; 320dpi; 720x1280; samsung; SM-J320F; j3xlte; sc8830
22/5.1.1; 480dpi; 1080x1776; Sony; C6503; C6503; qcom
22/5.1.1; 480dpi; 1080x1776; motorola; XT1563; lux_uds; qcom
22/5.1.1; 640dpi; 1440x2560; samsung; SM-G920F; zeroflte; samsungexynos7420
22/5.1.1; 640dpi; 1440x2560; samsung; SM-G920I; zeroflte; samsungexynos7420
22/6.1.0; 240dpi; 540x888; C5; C5; C5; sc8830
22/7.0.0; 240dpi; 540x888; motorola; Moto G5 Plus; potter; mt6580
23/6.0.0; 160dpi; 600x976; Multilaser; M9-3G_2; M9-3G_2; sp7731g_1h10
23/6.0.0; 160dpi; 600x976; TCL; 8063; Pixi4-7_WIFI; mt8127
23/6.0.0; 240dpi; 480x800; TCL; 4055J; U3; mt6735
23/6.0.0; 240dpi; 480x854; Hisense U962; Hisense U962; HS7731CSP; sp7731c_fs259
23/6.0.0; 240dpi; 480x854; TCL; 5010X; Pixi4-5; mt6580
23/6.0.0; 240dpi; 480x854; WIKO; JERRY MAX; V3610AN; mt6580
23/6.0.0; 240dpi; 720x1456; X23; X23; tek6735_35_m0; mt6735
23/6.0.0; 295dpi; 720x1280; meizu; M5c; M5c; mt6735
23/6.0.0; 312dpi; 720x1346; alps; moto g6; moto g6 plus; mt6580
